Plant,Area,Department,Line,Cell,Machine,Station,Workstation,Zone,Team,HierarchyType,EntityCode,EntityAlias,MarsId,Name,TimeZone,TimeZoneId,Address,Coordinates,Type,LanguageFormat,Alias,AssetType,Oem,AreaPaypoint,DepartmentPaypoint,LinePaypoint,ParallelProcess,BottleneckPoint,HomeDepartmentLevel,Region,Acronym,CintooUrl,EpAlertDescription,DtUrls,XOrigin,YOrigin,LatOrigin,LngOrigin,ScalingFactor,PinX,PinY,GspasX,GspasY,AcadX,AcadY,PcbAlias,FisAreaSAKey,FisNodeID,FisServerInstance,Grr,Err,Erc,Jph100,DesignCycleTime,PartsPerCycle,ManAvailTarget,EquipAvailTarget,EquipSimMttr,EquipSimMtbf,ActiveEntity,CdmActiveEntity
AP20A,1B,2B,8,0,0,210,0,,,station,2B8210,2B8210,60f82694ca9d410ce02dce7c,2B8210,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,8,0,0,220,C,,,workstation,2B8220C,8Y-220 Respot,60f82694ca9d410ce02dce7f,2B8220C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,280,C,,,workstation,2B9280C,8Y-280 Respot,60f82694ca9d410ce02dce87,2B9280C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,300,0,,,station,2B9300,2B9300,60f82694ca9d410ce02dce8a,2B9300,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,302,0,,,station,2B9302,2B9302,60f82694ca9d410ce02dce8c,2B9302,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,9,0,0,302,C,,,workstation,2B9302C,8Y-302 Merge,60f82694ca9d410ce02dce8d,2B9302C,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,1B,2B,K9P,0,0,0,0,,,line,K9P,none,60c8da95e862ba0f55382dcd,K9P,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,0,0,0,0,0,0,,,area,9,CAL & PRE-DELIVERY,60c8da97e862ba0f55382e05,9,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,LVC,0,0,0,0,,,line,LVC,LVC,60c8da9ae862ba0f55382e47,LVC,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,LVC,0,0,001,0,,,station,QLVC001,QLVC001,60f82694ca9d410ce02dd22c,QLVC001,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,LVC,0,0,001,E,,,workstation,QLVC001E,QLVC001E,60f82694ca9d410ce02dd231,QLVC001E,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,LVC,0,0,004,W,,,workstation,QLVC004W,QLVC004W,60f82694ca9d410ce02dd233,QLVC004W,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,LVC,0,0,006,W,,,workstation,QLVC006W,QLVC006W,60f82694ca9d410ce02dd235,QLVC006W,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,LVC,0,0,013,0,,,station,QLVC013,QLVC013,60f82694ca9d410ce02dd21e,QLVC013,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,LVC,0,0,013,W,,,workstation,QLVC013W,QLVC013W,60f82694ca9d410ce02dd21f,QLVC013W,,,,,,,,,,,,,,,,,,,[],[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,Q1,0,0,001,S,,,workstation,QQ1001S,Q1,60f82694ca9d410ce02dd1e5,QQ1001S,,,,,,,,,,,,,,,,,,,EP Stop CL101S G30,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,Q1,0,0,002,N,,,workstation,QQ1002N,Q1,60f82694ca9d410ce02dd1ed,QQ1002N,,,,,,,,,,,,,,,,,,,EP Stop CL102N G29,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,Q1,0,0,002,S,,,workstation,QQ1002S,Q1,60f82694ca9d410ce02dd1ec,QQ1002S,,,,,,,,,,,,,,,,,,,EP Stop CL102S G30,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,Q1,0,0,003,N,,,workstation,QQ1003N,Q1,60f82694ca9d410ce02dd1f4,QQ1003N,,,,,,,,,,,,,,,,,,,EP Stop CL103N G29,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,Q1,0,0,003,S,,,workstation,QQ1003S,Q1,60f82694ca9d410ce02dd1fe,QQ1003S,,,,,,,,,,,,,,,,,,,EP Stop CL103S G30,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
AP20A,9,Q,Q1,0,0,004,N,,,workstation,QQ1004N,Q1,60f82694ca9d410ce02dd1fc,QQ1004N,,,,,,,,,,,,,,,,,,,EP Stop CL104N H29,[],,,,,,,,,,,,,,,,,,,,,,,,,,TRUE,TRUE
